open,volume,low,timestamp,high,close
1174.9000,1269979,1162.8800,2019-03-29,1178.9900,1173.3100
1171.5400,1012430,1159.4300,2019-03-28,1171.5700,1168.4900
1185.5000,1400240,1159.3700,2019-03-27,1187.5600,1173.0200
1198.5300,1901156,1176.7200,2019-03-26,1202.8300,1184.6200
1196.9300,1496843,1187.0400,2019-03-25,1206.4000,1193.0000
1226.3200,1714247,1202.8300,2019-03-22,1230.0000,1205.5000
1216.0000,1204045,1213.1500,2019-03-21,1231.7900,1231.5400
1197.3500,2227786,1196.1700,2019-03-20,1227.1400,1223.9700
1188.8100,1520688,1185.8700,2019-03-19,1200.0000,1198.8500
1183.3000,1292633,1177.4200,2019-03-18,1190.0000,1184.2600
1193.3800,2459957,1182.6100,2019-03-15,1196.5700,1184.4600
1194.5100,1172815,1184.4800,2019-03-14,1197.8800,1185.5500
1200.6400,1435936,1191.9400,2019-03-13,1200.9300,1193.3200
1178.2600,2013115,1178.2600,2019-03-12,1200.0000,1193.2000
1144.4500,1719192,1144.4500,2019-03-11,1176.1900,1175.7600
1126.7300,1212489,1123.3000,2019-03-08,1147.0800,1142.3200
1155.7200,1166559,1134.9100,2019-03-07,1156.7600,1143.3000
1162.4900,1099289,1155.4900,2019-03-06,1167.5700,1157.8600
1150.0600,1443174,1146.1900,2019-03-05,1169.6100,1162.0300
1146.9900,1446047,1130.6900,2019-03-04,1158.2800,1147.8000
1124.9000,1450316,1124.7500,2019-03-01,1142.9700,1140.9900
1111.3000,1542609,1111.0100,2019-02-28,1127.6500,1119.9200
1106.9500,968760,1101.0000,2019-02-27,1117.9800,1116.0500
1105.7500,1471743,1099.9200,2019-02-26,1119.5100,1115.1300
1116.0000,1413061,1107.2700,2019-02-25,1118.5400,1109.4000
1100.9000,1049545,1095.6000,2019-02-22,1111.2400,1110.3700
1110.8400,1415473,1092.5200,2019-02-21,1111.9400,1096.9700
1119.9900,1087817,1105.2800,2019-02-20,1123.4100,1113.8000
1110.0000,1046628,1110.0000,2019-02-19,1121.8900,1118.5600
1130.0800,1449830,1110.6500,2019-02-15,1131.6700,1113.6500
1118.0500,947632,1110.4400,2019-02-14,1128.2300,1121.6700
1124.9900,1049781,1118.5000,2019-02-13,1134.7300,1120.1600
1106.8000,1609513,1105.8500,2019-02-12,1125.3000,1121.3700
1096.9500,1065194,1092.8600,2019-02-11,1105.9400,1095.0100
1087.0000,1075769,1086.5500,2019-02-08,1098.9100,1095.0600
1104.1600,2044827,1086.0000,2019-02-07,1104.8400,1098.7100
1139.5700,2105592,1112.7700,2019-02-06,1147.0000,1115.2300
1124.8400,3552194,1117.2500,2019-02-05,1146.8500,1145.9900
1112.6600,2576470,1109.0200,2019-02-04,1132.8000,1132.8000
1112.4000,1462208,1104.8900,2019-02-01,1125.0000,1110.7500
1103.0000,1538324,1095.4100,2019-01-31,1117.3300,1116.3700
1068.4300,1279822,1066.8500,2019-01-30,1091.0000,1089.0600
1072.6800,1021819,1055.8600,2019-01-29,1075.1500,1060.6200
