timestamp,volume,high,close,low,open
246.1700,248.1100,246.5300,253.9300,985321,2019-06-17
240.7600,244.9400,243.6400,246.8800,1123210,2019-06-14
242.2100,246.8800,242.8500,248.9900,1080879,2019-06-13
231.6500,242.2000,237.4000,245.7900,2527072,2019-06-12
245.8700,249.3600,253.6200,255.4900,1523495,2019-06-11
247.4804,249.8800,249.3600,257.1299,1822411,2019-06-10
238.0100,245.0400,239.0000,250.0000,1943741,2019-06-07
224.3600,237.2600,233.0000,238.0275,1979161,2019-06-06
224.5800,232.3000,224.5800,234.0000,2709933,2019-06-05
200.5000,222.9100,200.8400,223.3700,3084173,2019-06-04
196.0000,197.4200,199.8700,202.7000,1704634,2019-06-03
196.0100,198.8100,198.0000,201.6100,988370,2019-05-31
200.1800,201.8900,203.0200,204.4400,1155421,2019-05-30
199.0000,201.4500,202.0000,204.7200,1519227,2019-05-29
196.2300,202.0900,196.9500,203.6200,1689867,2019-05-28
193.7800,195.9000,197.5000,199.7399,1220201,2019-05-24
192.2500,195.2900,196.0000,198.0000,1484660,2019-05-23
197.0004,198.9000,197.1300,205.9900,1266955,2019-05-22
198.1000,199.0300,200.0500,207.7600,1782182,2019-05-21
190.5500,198.1700,193.1700,201.5200,1389981,2019-05-20
196.0449,198.0200,198.6200,202.6100,1497381,2019-05-17
197.4443,202.0400,200.6400,209.3900,3275164,2019-05-16
184.7600,199.8800,185.3900,201.3900,3502851,2019-05-15
177.8500,185.2600,179.5200,187.1700,2228148,2019-05-14
173.6000,176.7600,175.7700,181.5200,2094526,2019-05-13
181.8150,183.5100,191.0100,192.6700,3720332,2019-05-10
180.5000,189.9200,218.0000,218.0000,8963552,2019-05-09
215.5000,222.1100,216.2400,225.7800,1642792,2019-05-08
214.2400,217.6500,222.3700,225.6700,1690068,2019-05-07
220.6103,225.5900,225.0000,229.6300,1746455,2019-05-06
222.6435,231.9600,227.0100,232.6959,1316982,2019-05-03
220.0000,225.1600,220.0000,227.3300,1100647,2019-05-02
219.0000,221.2200,222.8900,225.6400,1033194,2019-05-01
216.6700,221.4800,219.5900,224.7800,1720577,2019-04-30
216.5000,225.8900,217.3000,226.3800,1562633,2019-04-29
211.6000,215.2400,214.2400,217.3000,849119,2019-04-26
208.1800,214.7500,210.0300,216.8800,1026549,2019-04-25
206.7000,207.7900,212.2400,213.8200,725314,2019-04-24
205.6261,210.7300,212.4000,215.0000,994052,2019-04-23
197.0000,211.0300,198.2500,211.9997,1506536,2019-04-22
194.3300,198.7400,198.1800,199.9100,725435,2019-04-18
